Catégorie,Nom,Description,Localisation,Histoire,Créatures Notables,Personnages Notables,Organisations Notables,Autres Détails
Divinité,Gozreh,"Dieu/déesse de la nature, du vent, de la mer et de la tempête.","Nature, Vent, Mer, Tempête","Gozreh est une divinité duale qui incarne la mer et le ciel, vénérée par les marins et les druides.","Holomog, Nirmath","Vague et nuage","Temple des Marées Changeantes à Absalom, Sanctuaire des Vents Hurleurs à Andoran","Gozreh est souvent représenté comme une figure double avec des aspects masculins et féminins."
Divinité,Lamashtu,"Déesse des monstres, de la folie et des cauchemars.","Monstres, Folie, Cauchemars","Lamashtu est une ancienne déesse déchue qui règne sur les monstres et les créatures cauchemardesques.","Nualia, Bruthazmus","Mâchoire béante","Temple de la Folie Engendrée à Varisie, Sanctuaire des Cauchemars à Ustalav","Lamashtu est souvent représentée comme une femme monstrueuse avec des ailes de chauve-souris."
Divinité,Nethys,"Dieu de la magie et de la connaissance.","Magie, Connaissance","Nethys est une divinité puissante qui maîtrise toute forme de magie, respectée et crainte par les mages.","Arclord Nex, Old-Mage Jatembe","Œil qui voit tout","Temple de l'Œil Éternel à Nex, Bibliothèque de la Magie à Quantium","Nethys est souvent représenté avec une moitié de visage brûlée et l'autre intacte."
Divinité,Norgorber,"Dieu des secrets, des poisons, du meurtre et de la trahison.","Secrets, Poisons, Meurtre, Trahison","Norgorber est un dieu malveillant qui a passé l'Épreuve de la Pierre Étoile, souvent vénéré par les assassins et les espions.","Darl Jubannich, Strea Vestori","Masque noir","Temple des Ombres Silencieuses à Taldor, Sanctuaire du Secret Caché à Absalom","Norgorber est souvent représenté portant un masque noir dissimulant son visage."
Divinité,Pharasma,"Déesse de la naissance, de la mort, du destin et des prophéties.","Naissance, Mort, Destin, Prophéties","Pharasma est une déesse ancienne qui guide les âmes des morts vers leur destination finale et contrôle le destin de tous.","Nivar White, Erasnus","Spirale en forme de conque","Temple de la Spirale d'Argent à Absalom, Catacombes de Pharasma à Osirion","Pharasma est souvent représentée comme une femme entourée d'esprits et portant une robe de sépulture."
Divinité, Rovagug,"Dieu de la destruction, de la colère et du désastre.","Destruction, Colère, Désastre","Rovagug est un dieu monstrueux emprisonné au cœur de Golarion, vénéré par ceux qui cherchent à provoquer le chaos et la destruction.","Raskha, Ulamir","Bête à crocs","Temple de la Ruine à Belkzen, Fosse des Désastres à Katapesh","Rovagug est souvent représenté comme une créature massive et dévorante."
Divinité,Sarenrae,"Déesse de la guérison, de la rédemption, du soleil et de la vérité.","Guérison, Rédemption, Soleil, Vérité","Sarenrae est une déesse bienveillante qui prône la rédemption et la guérison, souvent vénérée par les guérisseurs et les protecteurs.","Khunin, Seranrae","Ankh ailé","Temple du Soleil Éternel à Osirion, Sanctuaire de la Rédemption à Qadira","Sarenrae est souvent représentée comme une femme radieuse tenant une épée flamboyante."
Divinité,Shelyn,"Déesse de la beauté, de l'art, de l'amour et de la musique.","Beauté, Art, Amour, Musique","Shelyn est une déesse bienveillante qui inspire les artistes et les amoureux, prônant la beauté et la passion dans toutes choses.","Eirdre, Allisara","Rose en fleur","Temple de l'Harmonie à Taldor, Jardin des Délices à Absalom","Shelyn est souvent représentée comme une femme magnifique portant une rose et une lyre."
Divinité,Torag,"Dieu de la forge, de la protection, de la stratégie et de la famille.","Forge, Protection, Stratégie, Famille","Torag est une divinité naine respectée par les artisans et les guerriers, connue pour ses enseignements sur la forge et la défense.","Roi Borogrim, Forgeron Durok","Marteau et enclume","Forteresse de Torag à Dernholm, Forge Éternelle à Highhelm","Torag est souvent représenté comme un nain puissant tenant un marteau et un bouclier."
Divinité,Urgathoa,"Déesse de la gloutonnerie, de la maladie et des morts-vivants.","Gloutonnerie, Maladie, Morts-vivants","Urgathoa est une déesse sombre qui incarne les plaisirs charnels et la non-mort, souvent vénérée par les nécromanciens.","Lucian Gorrick, Hespith","Crâne et faucille","Temple de la Débauche Éternelle à Geb, Sanctuaire de la Non-Mort à Ustalav","Urgathoa est souvent représentée comme une femme mi-vivante mi-squelettique."
Divinité,Zon-Kuthon,"Dieu de la douleur, de la perte et des ténèbres.","Douleur, Perte, Ténèbres","Zon-Kuthon est une divinité malveillante qui cherche à infliger la souffrance et à plonger le monde dans les ténèbres.","Kazavon, Nidal","Chaînes et crochets","Temple de l'Ombre Éternelle à Nidal, Cathédrale de la Douleur à Galt","Zon-Kuthon est souvent représenté comme une figure sombre et torturée entourée de chaînes."
